Section,Type,Label/Column Name,API Field Name
AC Wise Report,Table Column,S.No,
AC Wise Report,Table Column,AC Code,ac_code
AC Wise Report,Table Column,Name,district_name
AC Wise Report,Table Column,Agency Name,agency_name
AC Wise Report,Table Column,Sample,acsample
AC Wise Report,Table Column,Checker,checker
AC Wise Report,Table Column,Alloted,QcCount
AC Wise Report,Table Column,Completed,complete
AC Wise Report,Table Column,Accepted,achieved
AC Wise Report,Table Column,Rejected,reject
AC Wise Report,Table Column,Under QC,underqc
