resp_religion,caste_code,caste_name_english,caste_name_bangla,caste_name_hindi
1,1,Aguri,Aguri,Aguri
1,2,Kansabanik,Kansabanik,Kansabanik
1,3,sadgop,sadgop,sadgop
1,4,shunri,shunri,shunri
1,5,Yadav,Yadav,Yadav
1,6,Santal,Santal,Santal
1,7,Pod,Pod,Pod
1,8,Tanti,Tanti,Tanti
1,9,Namaseej,Namaseej,Namaseej
1,10,Brahmins,Brahmins,Brahmins
1,11,Kayasthas,Kayasthas,Kayasthas
1,12,Baidyas,Baidyas,Baidyas
1,13,Rajputs,Rajputs,Rajputs
1,14,Kshatriyas,Kshatriyas,Kshatriyas
1,15,Barui,Barui,Barui
1,16,Gandha Banik,Gandha Banik,Gandha Banik
1,17,Kulin Kayasthas,Kulin Kayasthas,Kulin Kayasthas
1,18,Mahishya,Mahishya,Mahishya
1,19,Namasudra,Namasudra,Namasudra
1,20,Rajbanshi,Rajbanshi,Rajbanshi
1,21,Poundra,Poundra,Poundra
1,22,Dom,Dom,Dom
1,23,Bagdi,Bagdi,Bagdi
1,24,Chamar,Chamar,Chamar
1,25,Muchi,Muchi,Muchi
1,26,Kori,Kori,Kori
1,27,Haldar,Haldar,Haldar
1,28,Santhal,Santhal,Santhal
1,29,Munda,Munda,Munda
1,30,Oraon,Oraon,Oraon
1,31,Bhumij,Bhumij,Bhumij
1,32,Ho,Ho,Ho
1,33,Lodha,Lodha,Lodha
1,34,Bhil,Bhil,Bhil
1,35,Birhor,Birhor,Birhor
1,36,Mallah,Mallah,Mallah
1,37,Teli/Teli Sahu,Teli/Teli Sahu,Teli/Teli Sahu
1,38,Napit,Napit,Napit
1,39,Karmakar,Karmakar,Karmakar
1,40,Rajak,Rajak,Rajak
1,41,Dhoba,Dhoba,Dhoba
1,42,Hela,Hela,Hela
1,43,Kahar,Kahar,Kahar
1,45,Kurmi,Kurmi,Kurmi
1,46,Pasi,Pasi,Pasi
1,47,Keot,Keot,Keot
1,44,Others (Specify),Others (Specify),Others (Specify)
1,88,Refused to respond,Refused to respond,Refused to respond
2,48,Shaikh,Shaikh,Shaikh
2,49,Ansari,Ansari,Ansari
2,44,Others (Specify),Others (Specify),Others (Specify)
2,88,Refused to respond,Refused to respond,Refused to respond
3,1,Aguri,Aguri,Aguri
3,2,Kansabanik,Kansabanik,Kansabanik
3,3,sadgop,sadgop,sadgop
3,4,shunri,shunri,shunri
3,5,Yadav,Yadav,Yadav
3,6,Santal,Santal,Santal
3,7,Pod,Pod,Pod
3,8,Tanti,Tanti,Tanti
3,9,Namaseej,Namaseej,Namaseej
3,10,Brahmins,Brahmins,Brahmins
3,11,Kayasthas,Kayasthas,Kayasthas
3,12,Baidyas,Baidyas,Baidyas
3,13,Rajputs,Rajputs,Rajputs
3,14,Kshatriyas,Kshatriyas,Kshatriyas
3,15,Barui,Barui,Barui
3,16,Gandha Banik,Gandha Banik,Gandha Banik
3,17,Kulin Kayasthas,Kulin Kayasthas,Kulin Kayasthas
3,18,Mahishya,Mahishya,Mahishya
3,19,Namasudra,Namasudra,Namasudra
3,20,Rajbanshi,Rajbanshi,Rajbanshi
3,21,Poundra,Poundra,Poundra
3,22,Dom,Dom,Dom
3,23,Bagdi,Bagdi,Bagdi
3,24,Chamar,Chamar,Chamar
