Section,Type,Label/Column Name,API Field Name
Demographic Gender Wise,Table Column,PC Name,pc_name
Demographic Gender Wise,Table Column,PC Code,pc_code
Demographic Gender Wise,Table Column,Sample Achieved,sample_achieved
Demographic Gender Wise,Table Column,Male Quota,male.quota
Demographic Gender Wise,Table Column,Male Covered,male.covered
Demographic Gender Wise,Table Column,Male Balance,male.balance
Demographic Gender Wise,Table Column,Female Quota,female.quota
Demographic Gender Wise,Table Column,Female Covered,female.covered
Demographic Gender Wise,Table Column,Female Balance,female.balance
Demographic Age Wise,Table Column,PC Name,pc_name
Demographic Age Wise,Table Column,PC Code,pc_code
Demographic Age Wise,Table Column,Sample Achieved,sample_achieved
Demographic Age Wise,Table Column,18-24 Min Sample,Age_18_24.min_sample
Demographic Age Wise,Table Column,18-24 Achieved Sample,Age_18_24.achieved_sample
Demographic Age Wise,Table Column,18-24 Balance,Age_18_24.balance
Demographic Age Wise,Table Column,25-34 Min Sample,Age_25_34.min_sample
Demographic Age Wise,Table Column,25-34 Achieved Sample,Age_25_34.achieved_sample
Demographic Age Wise,Table Column,25-34 Balance,Age_25_34.balance
Demographic Age Wise,Table Column,35-50 Min Sample,Age_35_50.min_sample
Demographic Age Wise,Table Column,35-50 Achieved Sample,Age_35_50.achieved_sample
Demographic Age Wise,Table Column,35-50 Balance,Age_35_50.balance
Demographic Age Wise,Table Column,50+ Min Sample,age_50_plus.min_sample
Demographic Age Wise,Table Column,50+ Achieved Sample,age_50_plus.achieved_sample
Demographic Age Wise,Table Column,50+ Balance,age_50_plus.balance
Demographic Locality Wise,Table Column,PC Name,pc_name
Demographic Locality Wise,Table Column,PC Code,pc_code
Demographic Locality Wise,Table Column,Sample Achieved,sample_achieved
Demographic Locality Wise,Table Column,Urban Population,urban_population
Demographic Locality Wise,Table Column,Urban Sample,urban_sample
Demographic Locality Wise,Table Column,Urban Difference,urban_difference
Demographic Locality Wise,Table Column,Rural Population,rural_population
Demographic Locality Wise,Table Column,Rural Sample,rural_sample
Demographic Locality Wise,Table Column,Rural Difference,rural_difference
Demographic Caste Wise,Table Column,PC Name,pc_name
Demographic Caste Wise,Table Column,PC Code,pc_code
