ac_code,mp_name,mla_name,bye_poll
1,NIRMAL CHANDRA ROY,ADHIKARY PARESH CHANDRA,0
2,NISITH PRAMANIK,Sushil Barman,0
3,NISITH PRAMANIK,SUKUMAR ROY,0
4,JAGADISH CHANDRA BARMA BASUNIA,Nikhil Ranjan Dey,0
5,JAGADISH CHANDRA BARMA BASUNIA,Baren Chandra Barman,0
6,JAGADISH CHANDRA BARMA BASUNIA,SANGITA ROY,1
7,JAGADISH CHANDRA BARMA BASUNIA,NISITH PRAMANIK,1
8,NISITH PRAMANIK,Mihir Goswami,0
9,MANOJ TIGGA,Malati Rava Roy,0
10,MANOJ TIGGA,MANOJ KUMAR ORAON,0
11,MANOJ TIGGA,BISHAL LAMA,0
12,MANOJ TIGGA,SUMAN KANJILAL,0
13,MANOJ TIGGA,DIPAK BARMAN,0
14,MANOJ TIGGA,JAYPRAKASH TOPPO,1
15,DR JAYANTA KUMAR ROY,BISHNU PADA RAY,1
16,DR JAYANTA KUMAR ROY,Kaushik Roy,0
17,DR JAYANTA KUMAR ROY,DR. PRADIP KUMAR BARMA,0
18,NIRMAL CHANDRA ROY,KHAGESWAR ROY,0
19,DR JAYANTA KUMAR ROY,Sikha Chatterjee,0
20,NIRMAL CHANDRA ROY,BULU CHIK BARAIK,0
21,PRAKASH CHIK BARAIK,PUNA BHENGRA,0
22,RAJU BISTA,RUDEN SADA LEPCHA,0
23,RAJU BISTA,NEERAJ TAMANG ZIMBA,0
24,RAJU BISTA,Bishnu Prasad Sharma (alias B.P. Bajgain),0
25,RAJU BISTA,Anandamay Barman,0
26,RAJU BISTA,Sankar Ghosh,0
27,RAJU BISTA,Durga Murmu,0
28,GOPAL LAMA,HAMIDUL RAHAMAN,0
29,KALYANI KRISHNA,ABDUL KARIM CHOWDHARY,0
30,KALYANI KRISHNA,MD. GHULAM RABBANI,0
31,ALI IMRAN RAMZ (VICTOR),AZAD MINHAJUL ARFIN,0
32,KARTICK CHANDRA PAUL,GOUTAM PAUL,0
33,KARTICK CHANDRA PAUL,SATYAJIT BARMAN,0
34,KARTICK CHANDRA PAUL,SOUMEN ROY,0
35,KARTICK CHANDRA PAUL,KRISHNA KALYANI,1
36,BIPLAB MITRA,MOSARAF HUSSEN,0
37,BIPLAB MITRA,REKHA ROY,0
38,BIPLAB MITRA,TORAF HOSSAIN MANDAL,0
39,SUKANTA MAJUMDAR,Ashok Kumar Lahiri,0
40,SUKANTA MAJUMDAR,BUDHRAI TUDU,0
41,SUKANTA MAJUMDAR,SATYENDRA NATH RAY,0
42,BIPLAB MITRA,BIPLAB MITRA,0
43,KHAGEN MURMU,JOYEL MURMU,0
44,KHAGEN MURMU,CHINMOY DEB BARMAN,0
45,ALAM MOSTAQUE,Nihar Ranjan Ghosh,0
46,ALAM MOSTAQUE,TAJMUL HOSSAIN,0
47,ALAM MOSTAQUE,ABDUR RAHIM BOXI,0
48,ALAM MOSTAQUE,Samar Mukherjee,0
49,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),SABITRI MITRA,0
50,KHAGEN MURMU,Gopal Chandra Saha,0
51,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),0
52,ISHA KHAN CHOUDHURY,YEASMIN SABINA,0
53,ISHA KHAN CHOUDHURY,Md Abdul Ghani,0
54,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),CHANDANA SARKAR,0
55,ISHA KHAN CHOUDHURY,MANIRUL ISLAM,0
56,ISHA KHAN CHOUDHURY,Amirul Islam,0
57,KHALILUR RAHAMAN,EMANI BISWAS,0
58,DHANANJAY GHOSH,JAKIR HOSSAIN,0
59,KHALILUR RAHAMAN,Akhruzzaman,0
60,KHALILUR RAHAMAN,SUBRATA SAHA,1
61,MURTOJA HOSSAIN BOKUL,ALI MOHAMMAD,0
62,ABU TAHER KHAN,IDRIS ALI,1
63,MD SALIM,ABDUL SOUMIK HOSSAIN,0
64,GOURI SANKAR GHOSH,GOURI SANKAR GHOSH,0
65,KHALILUR RAHAMAN,KANAI CHANDRA MONDAL,0
66,KHALILUR RAHAMAN,ASHIS MARJIT,0
67,DR. NIRMAL KUMAR SAHA,JIBAN KRISHNA SAHA,0
68,PATHAN YUSUF,APURBA SARKAR (DAVID),0
69,PATHAN YUSUF,HUMAYUN KABIR,0
70,PATHAN YUSUF,RABIUL ALAM CHOWDHURY,0
