ac_code,party_code,party_name_english,party_name_bangla,party_logo
1,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
1,2,BJP,BJP,2.jpg
1,4,Left Front,Left Front,4.png
1,12,Independent,Independent,
1,44,Others (specify),Others (specify),
1,55,NOTA,NOTA,
1,66,Did not vote,Did not vote,
1,77,Not eligible for voting,Not eligible for voting,
1,88,No response/Refused to answer,No response/Refused to answer,
2,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
2,2,BJP,BJP,2.jpg
2,4,Left Front,Left Front,4.png
2,12,Independent,Independent,
2,44,Others (specify),Others (specify),
2,55,NOTA,NOTA,
2,66,Did not vote,Did not vote,
2,77,Not eligible for voting,Not eligible for voting,
2,88,No response/Refused to answer,No response/Refused to answer,
3,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
3,2,BJP,BJP,2.jpg
3,4,Left Front,Left Front,4.png
3,12,Independent,Independent,
3,44,Others (specify),Others (specify),
3,55,NOTA,NOTA,
3,66,Did not vote,Did not vote,
3,77,Not eligible for voting,Not eligible for voting,
3,88,No response/Refused to answer,No response/Refused to answer,
4,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
4,2,BJP,BJP,2.jpg
4,4,Left Front,Left Front,4.png
4,12,Independent,Independent,
4,44,Others (specify),Others (specify),
4,55,NOTA,NOTA,
4,66,Did not vote,Did not vote,
4,77,Not eligible for voting,Not eligible for voting,
4,88,No response/Refused to answer,No response/Refused to answer,
5,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
5,2,BJP,BJP,2.jpg
5,4,Left Front,Left Front,4.png
5,12,Independent,Independent,
5,44,Others (specify),Others (specify),
5,55,NOTA,NOTA,
5,66,Did not vote,Did not vote,
5,77,Not eligible for voting,Not eligible for voting,
5,88,No response/Refused to answer,No response/Refused to answer,
6,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
6,2,BJP,BJP,2.jpg
6,3,INC (Congress),INC (Congress),3.jpg
6,12,Independent,Independent,
6,44,Others (specify),Others (specify),
6,55,NOTA,NOTA,
6,66,Did not vote,Did not vote,
6,77,Not eligible for voting,Not eligible for voting,
6,88,No response/Refused to answer,No response/Refused to answer,
7,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
7,2,BJP,BJP,2.jpg
7,4,Left Front,Left Front,4.png
7,12,Independent,Independent,
7,44,Others (specify),Others (specify),
7,55,NOTA,NOTA,
7,66,Did not vote,Did not vote,
7,77,Not eligible for voting,Not eligible for voting,
7,88,No response/Refused to answer,No response/Refused to answer,
8,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
8,2,BJP,BJP,2.jpg
8,4,Left Front,Left Front,4.png
8,12,Independent,Independent,
8,44,Others (specify),Others (specify),
8,55,NOTA,NOTA,
8,66,Did not vote,Did not vote,
8,77,Not eligible for voting,Not eligible for voting,
8,88,No response/Refused to answer,No response/Refused to answer,
9,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
9,2,BJP,BJP,2.jpg
9,3,INC (Congress),INC (Congress),3.jpg
9,12,Independent,Independent,
9,44,Others (specify),Others (specify),
9,55,NOTA,NOTA,
9,66,Did not vote,Did not vote,
9,77,Not eligible for voting,Not eligible for voting,
9,88,No response/Refused to answer,No response/Refused to answer,
10,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
10,2,BJP,BJP,2.jpg
10,4,Left Front,Left Front,4.png
10,12,Independent,Independent,
10,44,Others (specify),Others (specify),
10,55,NOTA,NOTA,
10,66,Did not vote,Did not vote,
10,77,Not eligible for voting,Not eligible for voting,
10,88,No response/Refused to answer,No response/Refused to answer,
11,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
11,2,BJP,BJP,2.jpg
11,3,INC (Congress),INC (Congress),3.jpg
11,12,Independent,Independent,
11,44,Others (specify),Others (specify),
11,55,NOTA,NOTA,
11,66,Did not vote,Did not vote,
11,77,Not eligible for voting,Not eligible for voting,
11,88,No response/Refused to answer,No response/Refused to answer,
12,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
12,2,BJP,BJP,2.jpg
12,3,INC (Congress),INC (Congress),3.jpg
12,12,Independent,Independent,
12,44,Others (specify),Others (specify),
12,55,NOTA,NOTA,
12,66,Did not vote,Did not vote,
12,77,Not eligible for voting,Not eligible for voting,
12,88,No response/Refused to answer,No response/Refused to answer,
13,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
13,2,BJP,BJP,2.jpg
13,4,Left Front,Left Front,4.png
13,12,Independent,Independent,
13,44,Others (specify),Others (specify),
13,55,NOTA,NOTA,
13,66,Did not vote,Did not vote,
13,77,Not eligible for voting,Not eligible for voting,
13,88,No response/Refused to answer,No response/Refused to answer,
14,1,AITC (Trinamool Congress),AITC (Trinamool Congress),1.jpeg
14,2,BJP,BJP,2.jpg
