Old Column,New Column,Type,Difference
id,call_id,int,Column renamed from id to call_id
timer_section,,,New column in new table - not present in old
ac_code,ac_code,int,Same column exists in both
ac_name,ac_name,varchar,Same column exists in both
pc_name,pc_name,varchar,New column in new table - not present in old
pc_code,pc_code,varchar,New column in new table - not present in old
district_name,district_name,varchar,New column in new table - not present in old
district_code,district_code,varchar,New column in new table - not present in old
region_name,region_name,varchar,New column in new table - not present in old
region_code,region_code,varchar,New column in new table - not present in old
mla_name,mla_name,varchar,New column in new table - not present in old
mp_name,mp_name,varchar,New column in new table - not present in old
number_status,number_status,tinyint,Same column exists in both
call_not_ring,call_not_ring,tinyint,Same column exists in both
call_ring_status,call_ring_status,tinyint,Same column exists in both
q_call_status,q_call_status,int,Same column exists in both
call_reschedule,call_reschedule,datetime,New column in new table - not present in old
telecaller_id,telecaller_id,int,New column in new table - not present in old
telecaller_name,telecaller_name,varchar,New column in new table - not present in old
callid,callid,varchar,Same column exists in both
consent,consent,int,New column in new table - not present in old
resp_age,resp_age,int,New column in new table - not present in old
resp_registered_voter,resp_registered_voter,int,New column in new table - not present in old
resp_gender,resp_gender,int,New column in new table - not present in old
q5,q5,int,Same column exists in both
q5_oth,q5_oth,varchar,New column in new table - not present in old
q5_ind,q5_ind,varchar,New column in new table - not present in old
q6,q6,int,Same column exists in both
q6_oth,q6_oth,varchar,New column in new table - not present in old
q6_ind,q6_ind,varchar,New column in new table - not present in old
q7,q7,int,New column in new table - not present in old
q7_oth,q7_oth,varchar,New column in new table - not present in old
q7_ind,q7_ind,varchar,New column in new table - not present in old
q8,q8,int,New column in new table - not present in old
q8_oth,q8_oth,varchar,New column in new table - not present in old
q8_ind,q8_ind,varchar,New column in new table - not present in old
q9,q9,int,New column in new table - not present in old
q9_oth,q9_oth,varchar,New column in new table - not present in old
q9_ind,q9_ind,varchar,New column in new table - not present in old
q10,q10,int,New column in new table - not present in old
q10_1,q10_1,int,Same column exists in both
q10_2,q10_2,int,Same column exists in both
q10_3,q10_3,int,Same column exists in both
q10_4,q10_4,int,Same column exists in both
q10_5,q10_5,int,Same column exists in both
q10_44,q10_44,int,Same column exists in both
q10_99,q10_99,int,Same column exists in both
q10_oth,q10_oth,varchar,New column in new table - not present in old
q11,q11,int,Same column exists in both
q11_1,q11_1,int,New column in new table - not present in old
q11_2,q11_2,int,New column in new table - not present in old
q11_3,q11_3,int,New column in new table - not present in old
q11_4,q11_4,int,New column in new table - not present in old
q11_5,q11_5,int,New column in new table - not present in old
q11_6,q11_6,int,New column in new table - not present in old
q11_7,q11_7,int,New column in new table - not present in old
q11_8,q11_8,int,New column in new table - not present in old
q11_9,q11_9,int,New column in new table - not present in old
q11_10,q11_10,int,New column in new table - not present in old
q11_11,q11_11,int,New column in new table - not present in old
q11_13,q11_13,int,New column in new table - not present in old
q11_14,q11_14,int,New column in new table - not present in old
q11_15,q11_15,int,New column in new table - not present in old
q11_44,q11_44,int,New column in new table - not present in old
q11_99,q11_99,int,New column in new table - not present in old
q11_oth,q11_oth,varchar,New column in new table - not present in old
q12,q12,int,Same column exists in both
q12_1,q12_1,int,New column in new table - not present in old
q12_2,q12_2,int,New column in new table - not present in old
q12_3,q12_3,int,New column in new table - not present in old
q12_5,q12_5,int,New column in new table - not present in old
q12_6,q12_6,int,New column in new table - not present in old
q12_7,q12_7,int,New column in new table - not present in old
q12_8,q12_8,int,New column in new table - not present in old
q12_9,q12_9,int,New column in new table - not present in old
q12_11,q12_11,int,New column in new table - not present in old
q12_12,q12_12,int,New column in new table - not present in old
q12_14,q12_14,int,New column in new table - not present in old
q12_44,q12_44,int,New column in new table - not present in old
q12_99,q12_99,int,New column in new table - not present in old
q12_oth,q12_oth,varchar,New column in new table - not present in old
q13,q13,int,Same column exists in both
q13_2,q13_2,int,New column in new table - not present in old
q13_3,q13_3,int,New column in new table - not present in old
q13_4,q13_4,int,New column in new table - not present in old
q13_5,q13_5,int,New column in new table - not present in old
q13_6,q13_6,int,New column in new table - not present in old
q13_7,q13_7,int,New column in new table - not present in old
q13_8,q13_8,int,New column in new table - not present in old
q13_9,q13_9,int,New column in new table - not present in old
q13_10,q13_10,int,New column in new table - not present in old
q13_11,q13_11,int,New column in new table - not present in old
q13_12,q13_12,int,New column in new table - not present in old
q13_13,q13_13,int,New column in new table - not present in old
q13_44,q13_44,int,New column in new table - not present in old
q13_oth,q13_oth,varchar,New column in new table - not present in old
q14,q14,int,Same column exists in both
q15,q15,int,Same column exists in both
q16,q16,int,New column in new table - not present in old
q16_a,q16_a,int,New column in new table - not present in old
q16_b,q16_b,int,New column in new table - not present in old
q17,q17,int,New column in new table - not present in old
q17_oth,q17_oth,varchar,New column in new table - not present in old
q19,q19,int,New column in new table - not present in old
q19_oth,q19_oth,varchar,New column in new table - not present in old
resp_religion,resp_religion,int,New column in new table - not present in old
resp_religion_oth,resp_religion_oth,varchar,New column in new table - not present in old
resp_social_cat,resp_social_cat,int,New column in new table - not present in old
resp_female_edu,resp_female_edu,int,New column in new table - not present in old
resp_male_edu,resp_male_edu,int,New column in new table - not present in old
resp_occupation,resp_occupation,int,New column in new table - not present in old
thanks_future,thanks_future,int,New column in new table - not present in old
q_call_drop,q_call_drop,int,New column in new table - not present in old
status,status,tinyint,Same column exists in both
response,response,int,Same column exists in both
qc_audio_status,qc_audio_status,int,New column in new table - not present in old
qc_q2,qc_q2,int,New column in new table - not present in old
qc_q3,qc_q3,int,New column in new table - not present in old
qc_q4,qc_q4,int,New column in new table - not present in old
qc_q5,qc_q5,int,New column in new table - not present in old
qc_q6,qc_q6,int,New column in new table - not present in old
qc_q7,qc_q7,int,New column in new table - not present in old
qc_q8,qc_q8,int,New column in new table - not present in old
survey_data_id,,,Column exists in old table but not in new
agency_id,,,Column exists in old table but not in new
supervisor_id,,,Column exists in old table but not in new
teleform_user_id,,,Column exists in old table but not in new
generate_date,,,Column exists in old table but not in new
track,,,Column exists in old table but not in new
calling_group,,,Column exists in old table but not in new
priority,,,Column exists in old table but not in new
part_no,,,Column exists in old table but not in new
phone,,,Column exists in old table but not in new
name,,,Column exists in old table but not in new
q_name,,,Column exists in old table but not in new
call_attempt,,,Column exists in old table but not in new
call_received,,,Column exists in old table but not in new
call_date,,,Column exists in old table but not in new
